Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,70.0,70.0,70.0,70.0,70.0,5300500
2021-03-05,70.0,74.0,63.0,63.0,63.0,54416400
2021-03-08,57.0,62.0,57.0,57.0,57.0,36776900
2021-03-09,52.0,58.0,52.0,52.0,52.0,10975400
2021-03-10,51.0,51.0,47.0,47.0,47.0,5726200
2021-03-12,43.0,51.0,43.0,48.0,48.0,25747800
2021-03-15,52.0,52.0,44.0,44.0,44.0,55259800
2021-03-16,40.0,45.0,40.0,45.0,45.0,46068700
2021-03-17,49.0,49.0,42.0,44.0,44.0,19605000
2021-03-18,48.0,48.0,42.0,44.0,44.0,17674800
2021-03-19,44.0,44.0,40.0,43.0,43.0,25030600
2021-03-22,43.0,43.0,39.0,39.0,39.0,31310600
2021-03-23,39.0,39.0,39.0,39.0,39.0,0
2021-03-24,36.0,38.0,36.0,36.0,36.0,14973100
2021-03-25,33.0,33.0,33.0,33.0,33.0,13786200
2021-03-26,35.0,35.0,30.0,30.0,30.0,60008400
2021-03-29,30.0,30.0,27.0,27.0,27.0,62656200
2021-03-30,25.0,29.0,25.0,29.0,29.0,47105700
2021-03-31,30.0,30.0,27.0,27.0,27.0,34670200
2021-04-01,27.0,28.0,26.0,27.0,27.0,13692300
2021-04-05,27.0,28.0,25.0,26.0,26.0,13671000
2021-04-06,27.0,28.0,25.0,28.0,28.0,14586400
2021-04-07,28.0,29.0,26.0,28.0,28.0,12068500
2021-04-08,28.0,28.0,26.0,27.0,27.0,24012900
2021-04-09,27.0,28.0,26.0,28.0,28.0,7395500
2021-04-12,28.0,28.0,26.0,27.0,27.0,7910300
2021-04-13,27.0,28.0,26.0,27.0,27.0,3651300
2021-04-14,27.0,28.0,26.0,27.0,27.0,3234800
2021-04-15,27.0,29.0,27.0,29.0,29.0,31430100
2021-04-16,29.0,31.0,29.0,31.0,31.0,13959200
2021-04-19,33.0,34.0,32.0,34.0,34.0,6914400
2021-04-20,35.0,37.0,35.0,37.0,37.0,4543000
2021-04-21,40.0,40.0,40.0,40.0,40.0,6312400
2021-04-22,44.0,44.0,44.0,44.0,44.0,4507700
2021-04-23,48.0,48.0,40.0,40.0,40.0,25559200
2021-04-26,36.0,36.0,36.0,36.0,36.0,4857000
2021-04-27,33.0,39.0,33.0,36.0,36.0,44306700
2021-04-28,36.0,37.0,33.0,35.0,35.0,11364600
2021-04-29,35.0,37.0,35.0,36.0,36.0,16945200
2021-04-30,37.0,37.0,35.0,35.0,35.0,10445200
2021-05-03,35.0,37.0,32.0,34.0,34.0,16068000
2021-05-04,34.0,35.0,33.0,35.0,35.0,6148500
2021-05-05,34.0,35.0,33.0,34.0,34.0,8450300
2021-05-06,33.0,34.0,33.0,33.0,33.0,4371500
2021-05-07,33.0,34.0,33.0,34.0,34.0,2721100
2021-05-10,34.0,34.0,33.0,33.0,33.0,5654600
2021-05-11,33.0,34.0,31.0,32.0,32.0,7936500
2021-05-17,34.0,34.0,29.0,30.0,30.0,8324200
2021-05-18,30.0,31.0,29.0,31.0,31.0,4348100
2021-05-19,31.0,31.0,29.0,30.0,30.0,4079600
2021-05-20,30.0,31.0,29.0,30.0,30.0,3404800
2021-05-21,31.0,31.0,30.0,30.0,30.0,2624600
2021-05-24,30.0,31.0,29.0,30.0,30.0,4223600
2021-05-25,30.0,30.0,29.0,30.0,30.0,3054500
2021-05-27,30.0,30.0,29.0,29.0,29.0,3263200
2021-05-28,29.0,30.0,29.0,30.0,30.0,3990300
2021-05-31,30.0,31.0,29.0,30.0,30.0,3499800
2021-06-02,30.0,33.0,30.0,31.0,31.0,12762900
2021-06-03,32.0,32.0,31.0,31.0,31.0,5444800
2021-06-04,31.0,32.0,31.0,32.0,32.0,3883300
2021-06-07,32.0,33.0,30.0,33.0,33.0,9597300
2021-06-08,34.0,34.0,31.0,33.0,33.0,4114200
2021-06-09,33.0,33.0,32.0,33.0,33.0,2815700
2021-06-10,33.0,33.0,31.0,32.0,32.0,5963200
2021-06-11,32.0,33.0,32.0,32.0,32.0,6565800
2021-06-14,33.0,33.0,31.0,32.0,32.0,5660100
2021-06-15,32.0,32.0,30.0,31.0,31.0,4137100
2021-06-16,31.0,31.0,29.0,31.0,31.0,3045800
2021-06-17,31.0,31.0,29.0,30.0,30.0,6673300
2021-06-18,30.0,31.0,29.0,30.0,30.0,3022400
2021-06-21,30.0,30.0,29.0,29.0,29.0,5945900
2021-06-22,30.0,31.0,29.0,30.0,30.0,4010500
2021-06-23,30.0,31.0,29.0,29.0,29.0,7422300
2021-06-24,30.0,30.0,29.0,29.0,29.0,3291300
2021-06-25,29.0,30.0,29.0,30.0,30.0,4991100
2021-06-28,30.0,30.0,28.0,28.0,28.0,6269400
2021-06-29,28.0,30.0,28.0,29.0,29.0,3358700
2021-06-30,30.0,30.0,29.0,29.0,29.0,3050300
2021-07-01,29.0,30.0,28.0,30.0,30.0,1808000
2021-07-02,30.0,30.0,28.0,29.0,29.0,4700200
2021-07-05,29.0,30.0,28.0,29.0,29.0,2392000
2021-07-06,29.0,30.0,28.0,30.0,30.0,9432000
2021-07-07,30.0,30.0,29.0,30.0,30.0,2123100
2021-07-08,30.0,30.0,29.0,29.0,29.0,1316500
2021-07-09,29.0,31.0,29.0,29.0,29.0,5244200
2021-07-12,30.0,30.0,29.0,29.0,29.0,1910700
2021-07-13,29.0,30.0,29.0,30.0,30.0,347900
2021-07-14,30.0,30.0,29.0,30.0,30.0,1599700
2021-07-15,30.0,30.0,28.0,30.0,30.0,1812000
2021-07-16,29.0,30.0,28.0,29.0,29.0,2893100
2021-07-19,29.0,30.0,28.0,29.0,29.0,2299000
2021-07-21,29.0,30.0,28.0,29.0,29.0,1683800
2021-07-22,29.0,30.0,28.0,29.0,29.0,2652800
2021-07-23,29.0,30.0,29.0,29.0,29.0,1846400
2021-07-26,29.0,30.0,28.0,29.0,29.0,1418400
2021-07-27,29.0,29.0,28.0,29.0,29.0,1915700
2021-07-28,29.0,29.0,28.0,29.0,29.0,3027800
2021-07-29,29.0,29.0,28.0,29.0,29.0,1748200
2021-07-30,29.0,29.0,28.0,28.0,28.0,604700
2021-08-02,28.0,29.0,28.0,28.0,28.0,3715100
2021-08-03,28.0,29.0,28.0,29.0,29.0,520100
2021-08-04,29.0,29.0,28.0,28.0,28.0,2253200
2021-08-05,29.0,29.0,28.0,29.0,29.0,2547100
2021-08-06,28.0,30.0,28.0,30.0,30.0,4857600
2021-08-09,30.0,30.0,28.0,29.0,29.0,2365400
2021-08-10,29.0,29.0,28.0,28.0,28.0,3637800
2021-08-12,28.0,29.0,28.0,29.0,29.0,1977500
2021-08-13,29.0,29.0,28.0,28.0,28.0,3550000
2021-08-16,29.0,29.0,28.0,28.0,28.0,1895000
2021-08-18,29.0,29.0,27.0,28.0,28.0,8239600
2021-08-19,28.0,29.0,27.0,29.0,29.0,2951200
2021-08-20,29.0,29.0,28.0,28.0,28.0,2216000
2021-08-23,29.0,29.0,28.0,29.0,29.0,3041700
2021-08-24,29.0,29.0,27.0,28.0,28.0,10287500
2021-08-25,29.0,29.0,28.0,29.0,29.0,2670900
2021-08-26,29.0,29.0,27.0,29.0,29.0,2692600
2021-08-27,29.0,29.0,28.0,29.0,29.0,872200
2021-08-30,29.0,31.0,28.0,30.0,30.0,30003800
2021-08-31,30.0,30.0,28.0,30.0,30.0,2952300
2021-09-01,30.0,30.0,29.0,29.0,29.0,1269000
2021-09-02,29.0,30.0,28.0,29.0,29.0,3429100
2021-09-03,29.0,30.0,28.0,30.0,30.0,3082400
2021-09-06,30.0,30.0,29.0,30.0,30.0,3795100
2021-09-07,30.0,30.0,29.0,30.0,30.0,1377900
2021-09-08,30.0,30.0,29.0,29.0,29.0,981800
2021-09-09,30.0,30.0,29.0,30.0,30.0,921700
2021-09-10,30.0,30.0,29.0,29.0,29.0,1898300
2021-09-13,29.0,30.0,29.0,30.0,30.0,1548200
2021-09-14,30.0,30.0,29.0,29.0,29.0,8805600
2021-09-15,29.0,31.0,29.0,29.0,29.0,20431300
2021-09-16,30.0,31.0,29.0,30.0,30.0,2121000
2021-09-17,30.0,31.0,29.0,30.0,30.0,3296600
2021-09-20,30.0,31.0,29.0,30.0,30.0,3254500
2021-09-21,30.0,31.0,29.0,29.0,29.0,2981100
2021-09-22,29.0,30.0,29.0,30.0,30.0,1782000
2021-09-23,30.0,32.0,29.0,31.0,31.0,16291100
2021-09-24,31.0,34.0,30.0,33.0,33.0,22854300
2021-09-27,33.0,36.0,33.0,36.0,36.0,22721500
2021-09-28,38.0,39.0,33.0,35.0,35.0,38746600
2021-09-29,35.0,36.0,32.0,32.0,32.0,15151900
2021-09-30,32.0,33.0,30.0,31.0,31.0,5840400
2021-10-01,31.0,32.0,30.0,32.0,32.0,3683700
2021-10-04,32.0,32.0,31.0,32.0,32.0,4969300
2021-10-05,32.0,34.0,31.0,33.0,33.0,14052300
2021-10-06,33.0,33.0,31.0,32.0,32.0,2845400
2021-10-07,32.0,32.0,31.0,32.0,32.0,3081400
2021-10-08,32.0,32.0,31.0,31.0,31.0,3445500
2021-10-11,32.0,32.0,30.0,30.0,30.0,2384700
2021-10-12,31.0,32.0,30.0,31.0,31.0,4048200
2021-10-13,32.0,32.0,30.0,31.0,31.0,3736400
2021-10-14,31.0,34.0,30.0,34.0,34.0,20807600
2021-10-15,34.0,37.0,32.0,37.0,37.0,48147200
2021-10-18,37.0,40.0,36.0,40.0,40.0,29821500
2021-10-19,40.0,44.0,36.0,36.0,36.0,45715700
2021-10-21,36.0,39.0,36.0,39.0,39.0,34479100
2021-10-22,39.0,41.0,37.0,37.0,37.0,19522900
2021-10-25,37.0,38.0,36.0,37.0,37.0,7045400
2021-10-26,37.0,39.0,35.0,39.0,39.0,15721600
2021-10-27,39.0,39.0,37.0,37.0,37.0,8960700
2021-10-28,38.0,38.0,35.0,35.0,35.0,9495100
2021-10-29,35.0,37.0,35.0,36.0,36.0,9461600
2021-11-01,37.0,37.0,35.0,35.0,35.0,5203600
2021-11-02,35.0,37.0,35.0,36.0,36.0,7632200
2021-11-03,36.0,37.0,35.0,36.0,36.0,3629000
2021-11-04,36.0,36.0,35.0,36.0,36.0,2916300
2021-11-05,36.0,36.0,35.0,36.0,36.0,2341500
2021-11-08,36.0,36.0,35.0,35.0,35.0,4908800
2021-11-09,36.0,36.0,35.0,36.0,36.0,4173900
2021-11-10,36.0,36.0,35.0,36.0,36.0,3464000
2021-11-11,36.0,37.0,35.0,36.0,36.0,9828200
2021-11-12,36.0,36.0,35.0,36.0,36.0,3786600
2021-11-15,36.0,36.0,35.0,35.0,35.0,3566400
2021-11-16,35.0,37.0,35.0,36.0,36.0,9534000
2021-11-17,37.0,37.0,35.0,37.0,37.0,3198200
2021-11-18,37.0,37.0,35.0,36.0,36.0,8362400
2021-11-19,36.0,36.0,35.0,36.0,36.0,1742800
2021-11-22,36.0,36.0,35.0,35.0,35.0,1495700
2021-11-23,35.0,36.0,35.0,35.0,35.0,3500900
2021-11-24,35.0,36.0,35.0,35.0,35.0,1980600
2021-11-25,36.0,36.0,34.0,34.0,34.0,2077400
2021-11-26,34.0,37.0,34.0,37.0,37.0,15965700
2021-11-29,37.0,37.0,36.0,36.0,36.0,9270400
2021-11-30,37.0,38.0,36.0,36.0,36.0,8092500
2021-12-01,36.0,36.0,35.0,36.0,36.0,1229500
2021-12-02,36.0,36.0,35.0,36.0,36.0,2120400
2021-12-03,36.0,36.0,35.0,36.0,36.0,1565500
2021-12-06,35.0,36.0,35.0,35.0,35.0,3590600
2021-12-07,35.0,36.0,34.0,35.0,35.0,6556800
2021-12-08,36.0,36.0,35.0,36.0,36.0,1585300
2021-12-09,36.0,36.0,35.0,35.0,35.0,4295900
2021-12-10,36.0,36.0,35.0,36.0,36.0,6625400
2021-12-13,36.0,36.0,35.0,35.0,35.0,2392800
2021-12-14,35.0,37.0,35.0,37.0,37.0,5276800
2021-12-15,37.0,37.0,35.0,37.0,37.0,2508200
2021-12-16,36.0,37.0,35.0,36.0,36.0,864700
2021-12-17,36.0,38.0,36.0,37.0,37.0,5225500
2021-12-20,37.0,38.0,36.0,37.0,37.0,5689000
2021-12-21,37.0,38.0,36.0,38.0,38.0,2081200
2021-12-22,38.0,38.0,36.0,37.0,37.0,1824800
2021-12-23,37.0,38.0,36.0,37.0,37.0,4284300
2021-12-24,37.0,38.0,36.0,37.0,37.0,5412500
2021-12-27,37.0,38.0,36.0,38.0,38.0,654400
2021-12-28,36.0,38.0,36.0,37.0,37.0,3427300
2021-12-29,37.0,38.0,36.0,37.0,37.0,236200
2021-12-30,37.0,37.0,36.0,36.0,36.0,496200
2022-01-03,36.0,37.0,36.0,37.0,37.0,340400
2022-01-04,37.0,37.0,36.0,37.0,37.0,1173000
2022-01-05,37.0,38.0,36.0,36.0,36.0,3644900
