Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,154.0,154.0,140.0,154.0,154.0,142257900
2021-12-07,157.0,169.0,157.0,169.0,169.0,17101500
2021-12-08,185.0,185.0,180.0,185.0,185.0,11723900
2021-12-09,200.0,202.0,200.0,202.0,202.0,6242000
2021-12-10,222.0,222.0,222.0,222.0,222.0,7161500
2021-12-13,222.0,244.0,200.0,200.0,200.0,25625900
2021-12-14,180.0,180.0,180.0,180.0,180.0,2665000
2021-12-15,162.0,196.0,162.0,189.0,189.0,180577000
2021-12-16,192.0,193.0,171.0,171.0,171.0,46086200
2021-12-17,167.0,170.0,154.0,154.0,154.0,43647500
2021-12-20,154.0,155.0,139.0,142.0,142.0,26548700
2021-12-21,142.0,156.0,142.0,156.0,156.0,8332200
2021-12-22,166.0,171.0,161.0,171.0,171.0,25149800
2021-12-23,188.0,188.0,170.0,178.0,178.0,28009800
2021-12-24,180.0,192.0,168.0,190.0,190.0,24104100
2021-12-27,188.0,208.0,182.0,206.0,206.0,17460900
2021-12-28,200.0,206.0,195.0,196.0,196.0,11436400
2021-12-29,198.0,202.0,186.0,186.0,186.0,4613100
2021-12-30,186.0,186.0,176.0,182.0,182.0,3083600
2022-01-03,181.0,187.0,172.0,174.0,174.0,2783200
2022-01-04,174.0,180.0,162.0,166.0,166.0,5747000
2022-01-05,165.0,169.0,152.0,161.0,161.0,11938400
