Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,169.0,222.0,154.0,164.0,164.0,2884300
2021-03-25,164.0,180.0,153.0,153.0,153.0,817500
2021-03-26,151.0,152.0,143.0,143.0,143.0,308100
2021-03-29,141.0,171.0,140.0,155.0,155.0,1683200
2021-03-30,156.0,165.0,152.0,157.0,157.0,675300
2021-03-31,157.0,167.0,147.0,157.0,157.0,863100
2021-04-01,159.0,164.0,147.0,163.0,163.0,383300
2021-04-05,163.0,183.0,160.0,163.0,163.0,514300
2021-04-06,159.0,169.0,158.0,164.0,164.0,91100
2021-04-07,169.0,184.0,164.0,165.0,165.0,889800
2021-04-08,165.0,174.0,164.0,166.0,166.0,327700
2021-04-09,167.0,167.0,155.0,164.0,164.0,288200
2021-04-12,156.0,167.0,156.0,164.0,164.0,1044600
2021-04-13,163.0,171.0,163.0,170.0,170.0,299800
2021-04-14,174.0,190.0,170.0,176.0,176.0,1015700
2021-04-15,180.0,190.0,174.0,182.0,182.0,410000
2021-04-16,184.0,190.0,179.0,185.0,185.0,760600
2021-04-19,185.0,194.0,183.0,185.0,185.0,533100
2021-04-20,190.0,190.0,179.0,184.0,184.0,716000
2021-04-21,180.0,186.0,174.0,185.0,185.0,619700
2021-04-22,185.0,220.0,175.0,175.0,175.0,910000
2021-04-23,174.0,185.0,174.0,180.0,180.0,415800
2021-04-26,180.0,184.0,180.0,182.0,182.0,174000
2021-04-27,182.0,187.0,180.0,185.0,185.0,263100
2021-04-28,184.0,189.0,177.0,182.0,182.0,993700
2021-04-29,182.0,183.0,175.0,175.0,175.0,290100
2021-04-30,174.0,175.0,164.0,166.0,166.0,746200
2021-05-03,169.0,197.0,166.0,170.0,170.0,1948700
2021-05-04,169.0,183.0,159.0,172.0,172.0,1509500
2021-05-05,169.0,184.0,168.0,180.0,180.0,605900
2021-05-06,180.0,180.0,169.0,170.0,170.0,813100
2021-05-07,171.0,183.0,159.0,168.0,168.0,665300
2021-05-10,168.0,170.0,157.0,166.0,166.0,571600
2021-05-11,157.0,173.0,157.0,170.0,170.0,227500
2021-05-17,170.0,170.0,166.0,166.0,166.0,94200
2021-05-18,166.0,171.0,160.0,171.0,171.0,29700
2021-05-19,172.0,173.0,166.0,166.0,166.0,37000
2021-05-20,170.0,171.0,170.0,171.0,171.0,105400
2021-05-21,172.0,173.0,166.0,170.0,170.0,335300
2021-05-24,170.0,177.0,170.0,177.0,177.0,135500
2021-05-25,178.0,178.0,175.0,177.0,177.0,242900
2021-05-27,177.0,177.0,171.0,177.0,177.0,49100
2021-05-28,177.0,178.0,177.0,178.0,178.0,268800
2021-05-31,178.0,187.0,178.0,187.0,187.0,206700
2021-06-02,189.0,190.0,180.0,185.0,185.0,109600
2021-06-03,179.0,188.0,178.0,186.0,186.0,160600
2021-06-04,186.0,193.0,186.0,191.0,191.0,470700
2021-06-07,191.0,194.0,179.0,190.0,190.0,425700
2021-06-08,183.0,187.0,183.0,187.0,187.0,101500
2021-06-09,187.0,191.0,179.0,188.0,188.0,577100
2021-06-10,188.0,190.0,181.0,188.0,188.0,213600
2021-06-11,193.0,193.0,179.0,185.0,185.0,587200
2021-06-14,193.0,198.0,184.0,189.0,189.0,553200
2021-06-15,189.0,190.0,185.0,185.0,185.0,679100
2021-06-16,179.0,190.0,179.0,187.0,187.0,241200
2021-06-17,187.0,187.0,186.0,186.0,186.0,243600
2021-06-18,183.0,200.0,183.0,197.0,197.0,951800
2021-06-21,199.0,210.0,189.0,198.0,198.0,952300
2021-06-22,198.0,208.0,186.0,204.0,204.0,514100
2021-06-23,204.0,214.0,190.0,194.0,194.0,575600
2021-06-24,194.0,202.0,185.0,202.0,202.0,485400
2021-06-25,204.0,212.0,196.0,196.0,196.0,708200
2021-06-28,198.0,210.0,183.0,202.0,202.0,800200
2021-06-29,208.0,220.0,189.0,214.0,214.0,839300
2021-06-30,220.0,266.0,220.0,260.0,260.0,3047100
2021-07-01,268.0,302.0,242.0,242.0,242.0,2973400
2021-07-02,242.0,242.0,226.0,226.0,226.0,287500
2021-07-05,212.0,212.0,212.0,212.0,212.0,151700
2021-07-06,198.0,240.0,198.0,240.0,240.0,1055000
2021-07-07,224.0,274.0,224.0,224.0,224.0,5006600
2021-07-08,224.0,234.0,210.0,210.0,210.0,712000
2021-07-09,210.0,230.0,196.0,196.0,196.0,536000
2021-07-12,200.0,226.0,194.0,206.0,206.0,3794500
2021-07-13,202.0,218.0,195.0,200.0,200.0,638900
2021-07-14,198.0,226.0,198.0,204.0,204.0,2847100
2021-07-15,208.0,216.0,202.0,208.0,208.0,1109500
2021-07-16,208.0,214.0,199.0,208.0,208.0,1007500
2021-07-19,208.0,218.0,200.0,210.0,210.0,651800
2021-07-21,204.0,222.0,199.0,210.0,210.0,1359100
2021-07-22,210.0,218.0,202.0,208.0,208.0,887500
2021-07-23,208.0,210.0,204.0,204.0,204.0,377800
2021-07-26,204.0,216.0,204.0,208.0,208.0,1726000
2021-07-27,208.0,208.0,196.0,200.0,200.0,780800
2021-07-28,206.0,210.0,196.0,199.0,199.0,355100
2021-07-29,202.0,210.0,197.0,204.0,204.0,584800
2021-07-30,206.0,206.0,199.0,202.0,202.0,442500
2021-08-02,198.0,200.0,197.0,198.0,198.0,22200
2021-08-03,198.0,198.0,190.0,197.0,197.0,23400
2021-08-04,197.0,202.0,195.0,200.0,200.0,567800
2021-08-05,204.0,204.0,193.0,202.0,202.0,787900
2021-08-06,200.0,200.0,193.0,193.0,193.0,175200
2021-08-09,193.0,199.0,191.0,195.0,195.0,18500
2021-08-10,195.0,195.0,195.0,195.0,195.0,2500
2021-08-12,195.0,204.0,186.0,189.0,189.0,136700
2021-08-13,189.0,195.0,181.0,190.0,190.0,106600
2021-08-16,190.0,190.0,178.0,178.0,178.0,29900
2021-08-18,178.0,188.0,166.0,166.0,166.0,250900
2021-08-19,166.0,172.0,156.0,158.0,158.0,71200
2021-08-20,158.0,166.0,147.0,153.0,153.0,622800
2021-08-23,153.0,168.0,146.0,165.0,165.0,879700
2021-08-24,165.0,175.0,158.0,170.0,170.0,564300
2021-08-25,170.0,188.0,169.0,180.0,180.0,777700
2021-08-26,183.0,193.0,178.0,180.0,180.0,892500
2021-08-27,180.0,220.0,175.0,190.0,190.0,4080900
2021-08-30,191.0,192.0,177.0,177.0,177.0,1212900
2021-08-31,177.0,185.0,165.0,166.0,166.0,957100
2021-09-01,172.0,193.0,157.0,175.0,175.0,2454500
2021-09-02,177.0,190.0,172.0,180.0,180.0,2669600
2021-09-03,180.0,190.0,174.0,179.0,179.0,127400
2021-09-06,179.0,182.0,172.0,172.0,172.0,113800
2021-09-07,169.0,175.0,166.0,175.0,175.0,312300
2021-09-08,175.0,179.0,175.0,179.0,179.0,127600
2021-09-09,179.0,193.0,167.0,169.0,169.0,3813600
2021-09-10,179.0,179.0,168.0,168.0,168.0,1966000
2021-09-13,169.0,170.0,167.0,168.0,168.0,232800
2021-09-14,168.0,175.0,160.0,175.0,175.0,391000
2021-09-15,176.0,176.0,166.0,172.0,172.0,224300
2021-09-16,176.0,188.0,166.0,178.0,178.0,973100
2021-09-17,182.0,182.0,169.0,177.0,177.0,112100
2021-09-20,177.0,230.0,170.0,206.0,206.0,1387700
2021-09-21,206.0,206.0,193.0,193.0,193.0,1061400
2021-09-22,193.0,193.0,180.0,180.0,180.0,470800
2021-09-23,180.0,184.0,175.0,183.0,183.0,110300
2021-09-24,183.0,183.0,178.0,178.0,178.0,24400
2021-09-27,178.0,182.0,173.0,177.0,177.0,116100
2021-09-28,179.0,180.0,177.0,177.0,177.0,80000
2021-09-29,177.0,184.0,170.0,179.0,179.0,23800
2021-09-30,180.0,180.0,177.0,180.0,180.0,49400
2021-10-01,180.0,184.0,177.0,184.0,184.0,31900
2021-10-04,184.0,184.0,177.0,183.0,183.0,21900
2021-10-05,183.0,183.0,174.0,178.0,178.0,21600
2021-10-06,180.0,180.0,174.0,180.0,180.0,33300
2021-10-07,180.0,180.0,174.0,180.0,180.0,18000
2021-10-08,180.0,200.0,174.0,189.0,189.0,176500
2021-10-11,188.0,188.0,181.0,181.0,181.0,47500
2021-10-12,180.0,184.0,179.0,183.0,183.0,11000
2021-10-13,175.0,186.0,175.0,183.0,183.0,4800
2021-10-14,183.0,183.0,175.0,183.0,183.0,1600
2021-10-15,183.0,183.0,171.0,179.0,179.0,248300
2021-10-18,178.0,178.0,175.0,178.0,178.0,2800
2021-10-19,177.0,178.0,171.0,178.0,178.0,109800
2021-10-21,178.0,178.0,170.0,170.0,170.0,19400
2021-10-22,170.0,180.0,170.0,180.0,180.0,24600
2021-10-25,179.0,179.0,171.0,178.0,178.0,20800
2021-10-26,178.0,178.0,170.0,175.0,175.0,2000
2021-10-27,175.0,175.0,171.0,173.0,173.0,115100
2021-10-28,178.0,178.0,170.0,176.0,176.0,16500
2021-10-29,170.0,175.0,165.0,175.0,175.0,43900
2021-11-01,172.0,174.0,166.0,171.0,171.0,126800
2021-11-02,171.0,191.0,167.0,177.0,177.0,2134000
2021-11-03,177.0,180.0,170.0,171.0,171.0,1312900
2021-11-04,172.0,177.0,168.0,169.0,169.0,1341300
2021-11-05,170.0,174.0,167.0,173.0,173.0,786700
2021-11-08,173.0,175.0,171.0,174.0,174.0,240000
2021-11-09,174.0,174.0,169.0,171.0,171.0,255700
2021-11-10,171.0,174.0,171.0,171.0,171.0,18200
2021-11-11,169.0,171.0,168.0,171.0,171.0,249300
2021-11-12,171.0,171.0,168.0,169.0,169.0,44400
2021-11-15,169.0,172.0,169.0,172.0,172.0,7500
2021-11-16,172.0,175.0,170.0,172.0,172.0,284400
2021-11-17,172.0,175.0,172.0,175.0,175.0,111500
2021-11-18,170.0,175.0,168.0,175.0,175.0,34100
2021-11-19,174.0,174.0,169.0,173.0,173.0,13700
2021-11-22,173.0,173.0,170.0,173.0,173.0,10900
2021-11-23,170.0,173.0,170.0,173.0,173.0,8700
2021-11-24,170.0,176.0,165.0,175.0,175.0,706800
2021-11-25,175.0,177.0,171.0,175.0,175.0,428100
2021-11-26,170.0,175.0,168.0,172.0,172.0,680800
2021-11-29,166.0,173.0,166.0,170.0,170.0,234200
2021-11-30,165.0,170.0,160.0,166.0,166.0,301000
2021-12-01,168.0,169.0,157.0,164.0,164.0,104600
2021-12-02,164.0,164.0,153.0,156.0,156.0,183600
2021-12-03,157.0,167.0,156.0,165.0,165.0,310300
2021-12-06,168.0,168.0,160.0,164.0,164.0,18000
2021-12-07,155.0,163.0,155.0,162.0,162.0,30800
2021-12-08,162.0,170.0,160.0,168.0,168.0,416800
2021-12-09,169.0,173.0,164.0,171.0,171.0,404200
2021-12-10,172.0,183.0,160.0,162.0,162.0,1853300
2021-12-13,162.0,162.0,151.0,152.0,152.0,460000
2021-12-14,152.0,152.0,145.0,149.0,149.0,165600
2021-12-15,149.0,149.0,147.0,149.0,149.0,21800
2021-12-16,149.0,149.0,143.0,148.0,148.0,31300
2021-12-17,148.0,148.0,142.0,142.0,142.0,40700
2021-12-20,142.0,144.0,142.0,144.0,144.0,49800
2021-12-21,145.0,148.0,144.0,148.0,148.0,65800
2021-12-22,148.0,162.0,147.0,162.0,162.0,125600
2021-12-23,161.0,162.0,156.0,157.0,157.0,19100
2021-12-24,153.0,157.0,151.0,151.0,151.0,26400
2021-12-27,151.0,174.0,143.0,174.0,174.0,809900
2021-12-28,175.0,176.0,162.0,162.0,162.0,914400
2021-12-29,162.0,164.0,153.0,155.0,155.0,157400
2021-12-30,154.0,164.0,153.0,153.0,153.0,60600
2022-01-03,152.0,159.0,148.0,152.0,152.0,24800
2022-01-04,152.0,158.0,142.0,142.0,142.0,83800
2022-01-05,145.0,158.0,142.0,158.0,158.0,231500
