Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,930.0,970.0,865.0,865.0,865.0,706846700
2021-12-09,850.0,850.0,805.0,835.0,835.0,441667300
2021-12-10,845.0,910.0,830.0,875.0,875.0,323110900
2021-12-13,885.0,905.0,880.0,895.0,895.0,109784700
2021-12-14,900.0,900.0,860.0,885.0,885.0,87670400
2021-12-15,885.0,890.0,865.0,890.0,890.0,82526500
2021-12-16,890.0,920.0,880.0,920.0,920.0,66413900
2021-12-17,915.0,915.0,895.0,905.0,905.0,31019500
2021-12-20,905.0,910.0,860.0,890.0,890.0,40745200
2021-12-21,890.0,905.0,875.0,895.0,895.0,86599300
2021-12-22,895.0,915.0,890.0,910.0,910.0,50830800
2021-12-23,915.0,920.0,895.0,915.0,915.0,41850100
2021-12-24,915.0,915.0,905.0,910.0,910.0,32457000
2021-12-27,915.0,935.0,910.0,935.0,935.0,72660400
2021-12-28,930.0,940.0,920.0,930.0,930.0,64104700
2021-12-29,930.0,935.0,905.0,915.0,915.0,42827500
2021-12-30,915.0,925.0,895.0,925.0,925.0,42617000
2022-01-03,925.0,925.0,910.0,925.0,925.0,31289500
2022-01-04,920.0,930.0,915.0,920.0,920.0,29066600
2022-01-05,920.0,920.0,905.0,910.0,910.0,27027000
