Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1970.0,2200.0,1940.0,2190.0,2174.197998046875,1040753400
2021-01-05,2190.0,2340.0,2130.0,2230.0,2213.909423828125,1139014700
2021-01-06,2270.0,2290.0,2130.0,2220.0,2203.981689453125,629211500
2021-01-07,2250.0,2740.0,2240.0,2600.0,2581.23974609375,1982112200
2021-01-08,2640.0,2750.0,2560.0,2600.0,2581.23974609375,1052618000
2021-01-11,2560.0,2650.0,2530.0,2580.0,2561.384033203125,521301600
2021-01-12,2580.0,2780.0,2550.0,2770.0,2750.01318359375,1147172800
2021-01-13,2850.0,3130.0,2850.0,3120.0,3097.487548828125,1280852600
2021-01-14,3140.0,3440.0,3060.0,3180.0,3157.0546875,1499058400
2021-01-15,3300.0,3380.0,3040.0,3120.0,3097.487548828125,915912100
2021-01-18,3000.0,3140.0,2910.0,2910.0,2889.0029296875,930618200
2021-01-19,2810.0,2850.0,2710.0,2710.0,2690.446044921875,360498600
2021-01-20,2540.0,3200.0,2530.0,3190.0,3166.982666015625,1983213100
2021-01-21,3290.0,3340.0,3030.0,3090.0,3067.7041015625,1273877400
2021-01-22,3090.0,3090.0,2880.0,2880.0,2859.21923828125,894766800
2021-01-25,2760.0,2960.0,2680.0,2870.0,2849.29150390625,1222991300
2021-01-26,2900.0,2930.0,2670.0,2670.0,2650.734619140625,786819300
2021-01-27,2620.0,2740.0,2490.0,2550.0,2531.6005859375,1341364800
2021-01-28,2470.0,2570.0,2380.0,2380.0,2362.8271484375,731854900
2021-01-29,2370.0,2440.0,2220.0,2220.0,2203.981689453125,450321200
2021-02-01,2090.0,2640.0,2070.0,2600.0,2581.23974609375,2186652700
2021-02-02,2600.0,2630.0,2420.0,2420.0,2402.53857421875,942434300
2021-02-03,2390.0,2520.0,2290.0,2330.0,2313.18798828125,948031000
2021-02-04,2400.0,2520.0,2270.0,2400.0,2382.682861328125,874173400
2021-02-05,2450.0,2690.0,2370.0,2660.0,2640.806884765625,1157647700
2021-02-08,2770.0,2830.0,2700.0,2830.0,2809.580078125,977135300
2021-02-09,2850.0,2860.0,2640.0,2730.0,2710.3017578125,877784900
2021-02-10,2790.0,2970.0,2720.0,2930.0,2908.858642578125,1401720500
2021-02-11,2940.0,2960.0,2850.0,2870.0,2849.29150390625,620114900
2021-02-15,2900.0,2950.0,2880.0,2900.0,2879.074951171875,361594300
2021-02-16,2910.0,2940.0,2860.0,2870.0,2849.29150390625,349266100
2021-02-17,2870.0,2890.0,2720.0,2750.0,2730.157470703125,443154100
2021-02-18,2700.0,2820.0,2670.0,2780.0,2759.94091796875,349948000
2021-02-19,2800.0,2910.0,2730.0,2880.0,2859.21923828125,482821700
2021-02-22,2940.0,3040.0,2910.0,2950.0,2928.71435546875,834610300
2021-02-23,2940.0,3010.0,2920.0,2940.0,2918.786376953125,327105100
2021-02-24,2930.0,2970.0,2820.0,2910.0,2889.0029296875,386381000
2021-02-25,2970.0,3010.0,2940.0,2960.0,2938.64208984375,346787800
2021-02-26,2840.0,2890.0,2780.0,2840.0,2819.508056640625,1305042600
2021-03-01,2850.0,2880.0,2810.0,2840.0,2819.508056640625,166782500
2021-03-02,2840.0,2850.0,2720.0,2730.0,2710.3017578125,298489400
2021-03-03,2770.0,2770.0,2670.0,2700.0,2680.51806640625,192152700
2021-03-04,2520.0,2590.0,2520.0,2520.0,2501.81689453125,466387000
