Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,148.0,148.0,148.0,148.0,148.0,19000
2021-06-09,162.0,162.0,162.0,162.0,162.0,35500
2021-06-10,177.0,178.0,177.0,178.0,178.0,4019500
2021-06-11,192.0,195.0,188.0,195.0,195.0,2139600
2021-06-14,206.0,214.0,176.0,190.0,190.0,3758900
2021-06-15,190.0,190.0,171.0,171.0,171.0,565900
2021-06-16,172.0,172.0,154.0,155.0,155.0,294600
2021-06-17,155.0,170.0,154.0,170.0,170.0,393800
2021-06-18,180.0,186.0,167.0,176.0,176.0,356500
2021-06-21,180.0,180.0,159.0,162.0,162.0,245900
2021-06-22,162.0,162.0,146.0,151.0,151.0,248400
2021-06-23,151.0,165.0,150.0,158.0,158.0,234100
2021-06-24,158.0,164.0,151.0,157.0,157.0,113600
2021-06-25,156.0,160.0,148.0,160.0,160.0,394500
2021-06-28,160.0,163.0,144.0,147.0,147.0,188700
2021-06-29,144.0,144.0,134.0,136.0,136.0,208200
2021-06-30,136.0,138.0,123.0,124.0,124.0,265700
2021-07-01,124.0,124.0,112.0,121.0,121.0,124000
2021-07-02,114.0,121.0,110.0,114.0,114.0,74300
2021-07-05,114.0,114.0,104.0,106.0,106.0,157500
2021-07-06,106.0,116.0,101.0,105.0,105.0,164500
2021-07-07,105.0,114.0,98.0,106.0,106.0,155500
2021-07-08,106.0,113.0,101.0,111.0,111.0,77100
2021-07-09,111.0,112.0,101.0,110.0,110.0,133500
2021-07-12,115.0,121.0,110.0,117.0,117.0,134600
2021-07-13,118.0,123.0,118.0,118.0,118.0,118500
2021-07-14,118.0,120.0,108.0,114.0,114.0,49300
2021-07-15,110.0,116.0,103.0,111.0,111.0,35300
2021-07-16,111.0,112.0,103.0,108.0,108.0,62800
2021-07-19,108.0,108.0,101.0,105.0,105.0,90200
2021-07-21,103.0,104.0,100.0,104.0,104.0,81900
2021-07-22,104.0,104.0,100.0,102.0,102.0,396200
2021-07-23,102.0,102.0,100.0,102.0,102.0,186200
2021-07-26,100.0,112.0,100.0,108.0,108.0,500700
2021-07-27,108.0,108.0,103.0,105.0,105.0,44000
2021-07-28,105.0,105.0,102.0,105.0,105.0,32800
2021-07-29,105.0,107.0,102.0,105.0,105.0,53000
2021-07-30,103.0,105.0,102.0,104.0,104.0,3400
2021-08-02,103.0,103.0,103.0,103.0,103.0,800
2021-08-03,102.0,102.0,99.0,100.0,100.0,112200
2021-08-04,100.0,101.0,95.0,101.0,101.0,87000
2021-08-05,109.0,109.0,95.0,100.0,100.0,123000
2021-08-06,101.0,101.0,96.0,98.0,98.0,110600
2021-08-09,98.0,99.0,94.0,95.0,95.0,91600
2021-08-10,93.0,99.0,93.0,99.0,99.0,13200
2021-08-12,99.0,100.0,95.0,98.0,98.0,123900
2021-08-13,96.0,107.0,96.0,103.0,103.0,93800
2021-08-16,104.0,104.0,94.0,99.0,99.0,137600
2021-08-18,95.0,98.0,93.0,95.0,95.0,35900
2021-08-19,98.0,98.0,93.0,96.0,96.0,112300
2021-08-20,95.0,95.0,93.0,95.0,95.0,9900
2021-08-23,94.0,95.0,93.0,93.0,93.0,33900
2021-08-24,93.0,95.0,93.0,94.0,94.0,2300
2021-08-25,95.0,103.0,95.0,103.0,103.0,347300
2021-08-26,103.0,113.0,103.0,113.0,113.0,543900
2021-08-27,115.0,124.0,115.0,124.0,124.0,190400
2021-08-30,136.0,136.0,136.0,136.0,136.0,42500
2021-08-31,149.0,149.0,148.0,149.0,149.0,434200
2021-09-01,160.0,163.0,160.0,163.0,163.0,223900
2021-09-02,179.0,179.0,179.0,179.0,179.0,165200
2021-09-03,196.0,196.0,195.0,196.0,196.0,512600
2021-09-06,214.0,214.0,177.0,177.0,177.0,608700
2021-09-07,167.0,167.0,160.0,160.0,160.0,112600
2021-09-08,144.0,144.0,144.0,144.0,144.0,21000
2021-09-09,130.0,130.0,130.0,130.0,130.0,21700
2021-09-10,117.0,143.0,117.0,125.0,125.0,1274600
2021-09-13,136.0,137.0,135.0,137.0,137.0,179400
2021-09-14,150.0,150.0,150.0,150.0,150.0,78100
2021-09-15,165.0,165.0,165.0,165.0,165.0,147600
2021-09-16,179.0,181.0,179.0,181.0,181.0,310900
2021-09-17,190.0,199.0,163.0,199.0,199.0,2984300
2021-09-20,218.0,218.0,199.0,218.0,218.0,1017400
2021-09-21,232.0,238.0,232.0,238.0,238.0,1006300
2021-09-22,240.0,260.0,216.0,220.0,220.0,2928200
2021-09-23,216.0,226.0,198.0,212.0,212.0,1147600
2021-09-24,212.0,230.0,198.0,228.0,228.0,686200
2021-09-27,230.0,246.0,216.0,222.0,222.0,663800
2021-09-28,222.0,226.0,210.0,210.0,210.0,425200
2021-09-29,210.0,216.0,199.0,208.0,208.0,88000
2021-09-30,208.0,226.0,199.0,220.0,220.0,631400
2021-10-01,224.0,240.0,206.0,206.0,206.0,506100
2021-10-04,206.0,220.0,200.0,200.0,200.0,274700
2021-10-05,200.0,208.0,181.0,182.0,182.0,278500
2021-10-06,182.0,198.0,182.0,196.0,196.0,90600
2021-10-07,196.0,196.0,181.0,181.0,181.0,23200
2021-10-08,186.0,199.0,165.0,199.0,199.0,302100
2021-10-11,218.0,218.0,206.0,218.0,218.0,379300
2021-10-12,224.0,238.0,224.0,238.0,238.0,285600
2021-10-13,260.0,260.0,260.0,260.0,260.0,223400
2021-10-14,282.0,286.0,234.0,234.0,234.0,2688200
2021-10-15,224.0,234.0,212.0,214.0,214.0,1047700
2021-10-18,214.0,230.0,199.0,214.0,214.0,442000
2021-10-19,202.0,228.0,202.0,218.0,218.0,111200
2021-10-21,218.0,218.0,208.0,210.0,210.0,124800
2021-10-22,200.0,218.0,198.0,198.0,198.0,293900
2021-10-25,198.0,216.0,198.0,216.0,216.0,139300
2021-10-26,236.0,236.0,216.0,228.0,228.0,521400
2021-10-27,228.0,228.0,210.0,218.0,218.0,234000
2021-10-28,200.0,214.0,198.0,204.0,204.0,151800
2021-10-29,214.0,222.0,202.0,208.0,208.0,103700
2021-11-01,200.0,224.0,200.0,212.0,212.0,102100
2021-11-02,212.0,212.0,208.0,210.0,210.0,30900
2021-11-03,202.0,210.0,202.0,210.0,210.0,103800
2021-11-04,208.0,208.0,200.0,200.0,200.0,81800
2021-11-05,208.0,210.0,200.0,208.0,208.0,43700
