Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,657700
2021-01-05,50.0,50.0,50.0,50.0,50.0,15500
2021-01-06,50.0,50.0,50.0,50.0,50.0,31100
2021-01-07,50.0,50.0,50.0,50.0,50.0,100400
2021-01-08,50.0,50.0,50.0,50.0,50.0,102500
2021-01-11,50.0,50.0,50.0,50.0,50.0,174700
2021-01-12,50.0,50.0,50.0,50.0,50.0,148500
2021-01-13,50.0,50.0,50.0,50.0,50.0,264600
2021-01-14,50.0,50.0,50.0,50.0,50.0,195700
2021-01-15,50.0,50.0,50.0,50.0,50.0,76600
2021-01-18,50.0,50.0,50.0,50.0,50.0,709600
2021-01-19,50.0,50.0,50.0,50.0,50.0,1197200
2021-01-20,50.0,50.0,50.0,50.0,50.0,172300
2021-01-21,50.0,50.0,50.0,50.0,50.0,60000
2021-01-22,50.0,50.0,50.0,50.0,50.0,3600
2021-01-25,50.0,50.0,50.0,50.0,50.0,2200
2021-01-26,50.0,50.0,50.0,50.0,50.0,500
2021-01-27,50.0,50.0,50.0,50.0,50.0,21300
2021-01-28,50.0,50.0,50.0,50.0,50.0,57100
2021-01-29,50.0,50.0,50.0,50.0,50.0,100
2021-02-01,50.0,50.0,50.0,50.0,50.0,52900
2021-02-02,50.0,50.0,50.0,50.0,50.0,22800
2021-02-03,50.0,50.0,50.0,50.0,50.0,9200
2021-02-04,50.0,50.0,50.0,50.0,50.0,28000
2021-02-05,50.0,50.0,50.0,50.0,50.0,1300
2021-02-08,50.0,50.0,50.0,50.0,50.0,1900
2021-02-09,50.0,50.0,50.0,50.0,50.0,1800
2021-02-10,50.0,50.0,50.0,50.0,50.0,700
2021-02-11,50.0,50.0,50.0,50.0,50.0,4100
2021-02-15,50.0,50.0,50.0,50.0,50.0,9000
2021-02-16,50.0,50.0,50.0,50.0,50.0,107300
2021-02-17,50.0,50.0,50.0,50.0,50.0,356000
2021-02-18,50.0,50.0,50.0,50.0,50.0,64300
2021-02-19,50.0,50.0,50.0,50.0,50.0,4700
2021-02-22,50.0,50.0,50.0,50.0,50.0,1000
2021-02-23,50.0,50.0,50.0,50.0,50.0,1200
2021-02-24,50.0,50.0,50.0,50.0,50.0,1700
2021-02-25,50.0,50.0,50.0,50.0,50.0,11700
2021-03-01,50.0,50.0,50.0,50.0,50.0,600
2021-03-02,50.0,50.0,50.0,50.0,50.0,113400
2021-03-03,50.0,50.0,50.0,50.0,50.0,19200
2021-03-04,50.0,50.0,50.0,50.0,50.0,44000
2021-03-05,50.0,50.0,50.0,50.0,50.0,800
2021-03-08,50.0,50.0,50.0,50.0,50.0,27000
2021-03-09,50.0,50.0,50.0,50.0,50.0,1400
2021-03-10,50.0,50.0,50.0,50.0,50.0,132400
2021-03-12,50.0,50.0,50.0,50.0,50.0,12300
2021-03-15,50.0,50.0,50.0,50.0,50.0,36100
2021-03-16,50.0,50.0,50.0,50.0,50.0,17600
2021-03-17,50.0,50.0,50.0,50.0,50.0,2300
2021-03-19,50.0,50.0,50.0,50.0,50.0,26200
2021-03-22,50.0,50.0,50.0,50.0,50.0,5400
2021-03-23,50.0,50.0,50.0,50.0,50.0,14100
2021-03-24,50.0,50.0,50.0,50.0,50.0,10200
2021-03-25,50.0,50.0,50.0,50.0,50.0,91300
2021-03-26,50.0,50.0,50.0,50.0,50.0,2100
2021-03-29,50.0,50.0,50.0,50.0,50.0,103100
2021-03-30,50.0,50.0,50.0,50.0,50.0,51400
2021-04-01,50.0,50.0,50.0,50.0,50.0,300
2021-04-05,50.0,50.0,50.0,50.0,50.0,10000
2021-04-06,50.0,50.0,50.0,50.0,50.0,3100
2021-04-07,50.0,50.0,50.0,50.0,50.0,12100
2021-04-08,50.0,50.0,50.0,50.0,50.0,160700
2021-04-09,50.0,50.0,50.0,50.0,50.0,4400
2021-04-12,50.0,50.0,50.0,50.0,50.0,96300
2021-04-13,50.0,50.0,50.0,50.0,50.0,2006800
2021-04-14,50.0,50.0,50.0,50.0,50.0,6300
2021-04-15,50.0,50.0,50.0,50.0,50.0,5900
2021-04-16,50.0,50.0,50.0,50.0,50.0,38300
2021-04-19,50.0,50.0,50.0,50.0,50.0,900
2021-04-20,50.0,50.0,50.0,50.0,50.0,10500
2021-04-21,50.0,50.0,50.0,50.0,50.0,3300
2021-04-22,50.0,53.0,50.0,51.0,51.0,63493900
2021-04-23,50.0,50.0,50.0,50.0,50.0,6458500
2021-04-26,50.0,50.0,50.0,50.0,50.0,42700
2021-04-27,50.0,50.0,50.0,50.0,50.0,243300
2021-04-28,50.0,50.0,50.0,50.0,50.0,40200
2021-04-29,50.0,50.0,50.0,50.0,50.0,36800
2021-04-30,50.0,50.0,50.0,50.0,50.0,32300
2021-05-03,50.0,50.0,50.0,50.0,50.0,25300
2021-05-04,50.0,50.0,50.0,50.0,50.0,63400
2021-05-05,50.0,50.0,50.0,50.0,50.0,90400
2021-05-06,50.0,50.0,50.0,50.0,50.0,20800
2021-05-07,50.0,50.0,50.0,50.0,50.0,28900
2021-05-10,50.0,50.0,50.0,50.0,50.0,13200
2021-05-11,50.0,50.0,50.0,50.0,50.0,474800
2021-05-17,50.0,50.0,50.0,50.0,50.0,352000
2021-05-18,50.0,50.0,50.0,50.0,50.0,270000
2021-05-19,50.0,50.0,50.0,50.0,50.0,110100
2021-05-20,50.0,50.0,50.0,50.0,50.0,13600
2021-05-21,50.0,50.0,50.0,50.0,50.0,393400
2021-05-24,50.0,50.0,50.0,50.0,50.0,1347900
2021-05-25,50.0,50.0,50.0,50.0,50.0,22400
2021-05-27,50.0,50.0,50.0,50.0,50.0,12900
2021-05-28,50.0,50.0,50.0,50.0,50.0,8700
2021-05-31,50.0,50.0,50.0,50.0,50.0,226100
2021-06-02,50.0,50.0,50.0,50.0,50.0,269600
2021-06-03,50.0,50.0,50.0,50.0,50.0,363000
2021-06-04,50.0,50.0,50.0,50.0,50.0,162800
2021-06-07,50.0,50.0,50.0,50.0,50.0,725100
2021-06-08,50.0,50.0,50.0,50.0,50.0,9600
2021-06-10,50.0,50.0,50.0,50.0,50.0,34800
2021-06-11,50.0,50.0,50.0,50.0,50.0,188700
